Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Number of Days Hospitalized,Number of Days Hospitalized Description,Number of Days Hospitalized Notes,Estimated Lost Wages,Estimated Lost Wages Description,Estimated Lost State Income Tax Revenue,Estimated Lost State Income Tax Revenue Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude & Longitude,Latitude,Longitude
County,Luzerne,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,62,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7803.14,Lost wages dues to hospitalization for opioid use,239.56,Estimated state income tax revenue lost during hospitalizations due to opioid use,40,40,42,79,"(41.1783643884, -75.991996098)",POINT (-75.991996098 41.1783643884),41.17836439,-75.9919961
County,Philadelphia,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,4150,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,742257.14,Lost wages dues to hospitalization for opioid use,22787.29,Estimated state income tax revenue lost during hospitalizations due to opioid use,51,51,42,101,"(40.0044435384, -75.140236002)",POINT (-75.140236002 40.0044435384),40.00444354,-75.140236
County,Adams,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,91,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,9165.00,Lost wages dues to hospitalization for opioid use,281.37,Estimated state income tax revenue lost during hospitalizations due to opioid use,1,1,42,1,"(39.8720956503, -77.2222427076)",POINT (-77.2222427076 39.8720956503),39.87209565,-77.22224271
County,Susquehanna,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,20,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2182.86,Lost wages dues to hospitalization for opioid use,67.01,Estimated state income tax revenue lost during hospitalizations due to opioid use,58,58,42,115,"(41.8205685982, -75.8025030296)",POINT (-75.8025030296 41.8205685982),41.8205686,-75.80250303
County,Lebanon,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,85,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,9495.71,Lost wages dues to hospitalization for opioid use,291.52,Estimated state income tax revenue lost during hospitalizations due to opioid use,38,38,42,75,"(40.3675970024, -76.4618257486)",POINT (-76.4618257486 40.3675970024),40.367597,-76.46182575
County,Allegheny,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,866,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,154890.29,Lost wages dues to hospitalization for opioid use,4755.13,Estimated state income tax revenue lost during hospitalizations due to opioid use,2,2,42,3,"(40.4673554298, -79.9861984282)",POINT (-79.9861984282 40.4673554298),40.46735543,-79.98619843
County,Elk,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,8,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,872.00,Lost wages dues to hospitalization for opioid use,26.77,Estimated state income tax revenue lost during hospitalizations due to opioid use,24,24,42,47,"(41.4281941606, -78.6494771322)",POINT (-78.6494771322 41.4281941606),41.42819416,-78.64947713
County,Clarion,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,16,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1529.14,Lost wages dues to hospitalization for opioid use,46.94,Estimated state income tax revenue lost during hospitalizations due to opioid use,16,16,42,31,"(41.1927912877, -79.4248360769)",POINT (-79.4248360769 41.1927912877),41.19279129,-79.42483608
County,Cambria,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,30,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3235.71,Lost wages dues to hospitalization for opioid use,99.34,Estimated state income tax revenue lost during hospitalizations due to opioid use,11,11,42,21,"(40.4912749067, -78.7189417385)",POINT (-78.7189417385 40.4912749067),40.49127491,-78.71894174
County,Jefferson,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,33,33,42,65,"(41.1313909115, -79.0010181419)",POINT (-79.0010181419 41.1313909115),41.13139091,-79.00101814
County,Cumberland,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,153,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,21441.86,Lost wages dues to hospitalization for opioid use,658.27,Estimated state income tax revenue lost during hospitalizations due to opioid use,21,21,42,41,"(40.167598388, -77.268662705)",POINT (-77.268662705 40.167598388),40.16759839,-77.26866271
County,Philadelphia,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,3716,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,819112.57,Lost wages dues to hospitalization for opioid use,25146.76,Estimated state income tax revenue lost during hospitalizations due to opioid use,51,51,42,101,"(40.0044435384, -75.140236002)",POINT (-75.140236002 40.0044435384),40.00444354,-75.140236
County,Warren,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,8,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,949.71,Lost wages dues to hospitalization for opioid use,29.16,Estimated state income tax revenue lost during hospitalizations due to opioid use,62,62,42,123,"(41.8167523652, -79.278581578)",POINT (-79.278581578 41.8167523652),41.81675237,-79.27858158
County,Beaver,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,53,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6738.57,Lost wages dues to hospitalization for opioid use,206.87,Estimated state income tax revenue lost during hospitalizations due to opioid use,4,4,42,7,"(40.6834924548, -80.3510735648)",POINT (-80.3510735648 40.6834924548),40.68349246,-80.35107356
County,Montgomery,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,814,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,150822.57,Lost wages dues to hospitalization for opioid use,4630.25,Estimated state income tax revenue lost during hospitalizations due to opioid use,46,46,42,91,"(40.209898739, -75.3725200072)",POINT (-75.3725200072 40.209898739),40.20989874,-75.37252001
County,York,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,431,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,58677.57,Lost wages dues to hospitalization for opioid use,1801.40,Estimated state income tax revenue lost during hospitalizations due to opioid use,67,67,42,133,"(39.9219253124, -76.7257605231)",POINT (-76.7257605231 39.9219253124),39.92192531,-76.72576052
County,Northampton,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,291,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,36873.86,Lost wages dues to hospitalization for opioid use,1132.03,Estimated state income tax revenue lost during hospitalizations due to opioid use,48,48,42,95,"(40.754595404, -75.3126372576)",POINT (-75.3126372576 40.754595404),40.7545954,-75.31263726
County,Carbon,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,33,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3408.43,Lost wages dues to hospitalization for opioid use,104.64,Estimated state income tax revenue lost during hospitalizations due to opioid use,13,13,42,25,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081),40.91936701,-75.71107039
County,Northumberland,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,36,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3841.71,Lost wages dues to hospitalization for opioid use,117.94,Estimated state income tax revenue lost during hospitalizations due to opioid use,49,49,42,97,"(40.8515092572, -76.7118842273)",POINT (-76.7118842273 40.8515092572),40.85150926,-76.71188423
County,Clarion,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,16,16,42,31,"(41.1927912877, -79.4248360769)",POINT (-79.4248360769 41.1927912877),41.19279129,-79.42483608
County,Snyder,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,26,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2655.71,Lost wages dues to hospitalization for opioid use,81.53,Estimated state income tax revenue lost during hospitalizations due to opioid use,55,55,42,109,"(40.7711373692, -77.0725596804)",POINT (-77.0725596804 40.7711373692),40.77113737,-77.07255968
State,Commonwealth,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,13286,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2012131.14,Lost wages dues to hospitalization for opioid use,61772.43,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Lebanon,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,24,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3068.57,Lost wages dues to hospitalization for opioid use,94.21,Estimated state income tax revenue lost during hospitalizations due to opioid use,38,38,42,75,"(40.3675970024, -76.4618257486)",POINT (-76.4618257486 40.3675970024),40.367597,-76.46182575
County,Clearfield,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,171,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,18865.71,Lost wages dues to hospitalization for opioid use,579.18,Estimated state income tax revenue lost during hospitalizations due to opioid use,17,17,42,33,"(41.0004290024, -78.4755834299)",POINT (-78.4755834299 41.0004290024),41.000429,-78.47558343
State,Commonwealth,Female,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,5006,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,854332.86,Lost wages dues to hospitalization for opioid use,26228.02,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Indiana,All,All (21 to 64 years),2020,2020 Annual,1/1/2020-12/31/2020,84,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,11369.14,Lost wages dues to hospitalization for opioid use,349.03,Estimated state income tax revenue lost during hospitalizations due to opioid use,32,32,42,63,"(40.6529549748, -79.0933349286)",POINT (-79.0933349286 40.6529549748),40.65295498,-79.09333493
County,Berks,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,307,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,38506.57,Lost wages dues to hospitalization for opioid use,1182.15,Estimated state income tax revenue lost during hospitalizations due to opioid use,6,6,42,11,"(40.4193963513, -75.9307732705)",POINT (-75.9307732705 40.4193963513),40.41939635,-75.93077327
County,Schuylkill,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,146,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,15371.71,Lost wages dues to hospitalization for opioid use,471.91,Estimated state income tax revenue lost during hospitalizations due to opioid use,54,54,42,107,"(40.707512431, -76.223323851)",POINT (-76.223323851 40.707512431),40.70751243,-76.22332385
County,Lackawanna,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,20,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2422.86,Lost wages dues to hospitalization for opioid use,74.38,Estimated state income tax revenue lost during hospitalizations due to opioid use,35,35,42,69,"(41.4391006428, -75.6121834524)",POINT (-75.6121834524 41.4391006428),41.43910064,-75.61218345
County,Clinton,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,16,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1970.29,Lost wages dues to hospitalization for opioid use,60.49,Estimated state income tax revenue lost during hospitalizations due to opioid use,18,18,42,35,"(41.2328627374, -77.6428376046)",POINT (-77.6428376046 41.2328627374),41.23286274,-77.6428376
County,Pike,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,23,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2204.71,Lost wages dues to hospitalization for opioid use,67.68,Estimated state income tax revenue lost during hospitalizations due to opioid use,52,52,42,103,"(41.332571995, -75.0327092448)",POINT (-75.0327092448 41.332571995),41.332572,-75.03270924
County,Northampton,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,629,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,84270.71,Lost wages dues to hospitalization for opioid use,2587.11,Estimated state income tax revenue lost during hospitalizations due to opioid use,48,48,42,95,"(40.754595404, -75.3126372576)",POINT (-75.3126372576 40.754595404),40.7545954,-75.31263726
